Project Name,Status,Description,Research Area,Project Lead,Team Members,Key Team Members,Start Date,Target End Date,GitHub Repository,Funding,Compute,Compute resources,Outputs,Related Events,Last edited time,Last edited by,Frequency,Notes / Duplicates
BODHI: Medical AI as Epistemic Agent,Active,"Systems design framework reimagining medical AI as an epistemic agent: one that questions assumptions, reasons under uncertainty, and recognizes the boundaries of its own knowledge.",AI Epistemics & Framework Design,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),Sebastian Cajas (https://www.notion.so/Sebastian-Cajas-318e4faff87f81a68594db7611cc5312?pvs=21),Sebastian Cajas (lead developer),"February 19, 2026","March 3, 2027",https://github.com/sebasmos/bodhi-llms,,,,,,"March 17, 2026 1:46 PM",Ken,,
LabTube: 3D Temporal Modeling of ICU Labs,Active,VideoMAE-style modeling of ICU lab time series. Elevates time to a structural dimension ('the tube'). Unifies time and lab space in one 3D tensor for spatio-temporal modeling. Described as successor to Lab-MAE.,AI/ML Infrastructure & Tooling,Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),Tiger Krittaphas (https://www.notion.so/Tiger-Krittaphas-326e4faff87f806682fae38201d9fc23?pvs=21),Tiger Krittaphas,"February 2, 2026","April 30, 2026",https://github.com/tinaboya/LabTube,N/A,,,,,"March 17, 2026 1:47 PM",Ken,,Related to Lab-MAE (explicit successor). Kept as a separate project.
"Brown Mental Health LLM-athon (Feb 26�27, 2026)",Active,"AI-a-thon for high school students, teachers, data scientists, and healthcare professionals. Cross-disciplinary teams tackle real-world AI-in-healthcare activities. Youth-centered.",Education/Events/Workshops,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),"Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21), Tiger Krittaphas (https://www.notion.so/Tiger-Krittaphas-326e4faff87f806682fae38201d9fc23?pvs=21), Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21), Ryohei Yamamoto-Kobayashi (https://www.notion.so/Ryohei-Yamamoto-Kobayashi-318e4faff87f818f884fc9e94807e796?pvs=21), Laurine Sprehe (https://www.notion.so/Laurine-Sprehe-318e4faff87f81d1802bcb1a03d089db?pvs=21), Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21)","Ahram Han, Ann Larson, Boya Zhang, Doug Rademacher, Hannes Ill, Laurine Sprehe, Ryohei Kobayashi, Takeshi Tohyama, Tiger Krittaphas, Marlene, and others","February 1, 2026","February 27, 2026",,MIT + Brown University,,,,,"March 17, 2026 10:41 AM",Ken,,
"MIT Critical Data Branding, Events & Comms",Active,"Coordination of the lab's external events calendar, website (criticaldata.mit.edu), social media (LinkedIn/X/Instagram), YouTube, and communication infrastructure. Includes AI Attitudes platform.",Lab Operations,"Kenneth Paik (https://www.notion.so/Kenneth-Paik-326e4faff87f802dadded21daa435b8f?pvs=21), Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21)","Saleem Ameen (https://www.notion.so/Saleem-Ameen-318e4faff87f81f0a6fcc93a5bf3f005?pvs=21), Milit Patel (https://www.notion.so/Milit-Patel-326e4faff87f8022ad72e35c5864db2d?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21), Aryan Bhattacharya (https://www.notion.so/Aryan-Bhattacharya-326e4faff87f80978eaac1f1b30a5dab?pvs=21)","Saleem Ameen, Aryan Bhattacharya, Han-Jay Shu, Rahul, Marlene, Mindy, Milit Patel, Akshay Kelshiker, Dukyong","January 17, 2026",,,N/A,,,,,"March 17, 2026 10:42 AM",Ken,,
6 Tools Framework + Jan 15 Event Take-aways,Active,Using the 6 tools framework combined with January 15th event outcomes to summarize desired changes in medical education.,Education/Events/Workshops,Laurine Sprehe (https://www.notion.so/Laurine-Sprehe-318e4faff87f81d1802bcb1a03d089db?pvs=21),,Nikil,"January 15, 2026","March 31, 2026",,N/A,,,,,"March 17, 2026 10:36 AM",Ken,,
Multimodal Data Discordance,Active,"Evaluating AI performance, entropy, and calibration in discordant data across multiple modalities.","Multimodal EHR, Vector Embeddings",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21),"Vector Embedding team, HST.956 class students","January 1, 2026","December 30, 2026",,Own compute,,,,,"March 17, 2026 10:43 AM",Ken,,Overlaps with VE team work. Kept as a separate project. Submitted by Takeshi Tohyama.
"AI as a Catalyst (Jan 15, 2026 Event)",Nearing Completion,January 15th 2026 large multi-stakeholder event on AI in healthcare.,Education/Events/Workshops,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,"Djillali Annane, Lorna Atimango, Azra Bihorac, + ~100 others","December 30, 2025","January 15, 2026",,MIT,,,,,"March 17, 2026 10:36 AM",Ken,,
MIT Critical Data Central America,Active,Using Central America critical health data to analyze current healthcare outcomes.,Global Health & Regional Data,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,"Juan Luis, Roberto Guizar","November 18, 2025",,,,,,,,"March 17, 2026 10:37 AM",Ken,,
MedScope: Pain Documentation Bias,Active,Measuring how pain is documented across clinical notes (BRIDGE) and standardized exam questions (WorldMedQA) to uncover systematic bias in data and models.,Bias/Fairness/Representation,Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),,"Yuanchao Ma, Jiageng Wu","November 3, 2025","April 30, 2026",https://github.com/tinaboya/MedScope,N/A,,,,,"March 17, 2026 1:46 PM",Ken,,"Related to WorldmedQA (Sebastien). Same datasets, same bias theme. Kept as a separate project."
SLICES: SSL Objectives for ICU Representation,Active,Modular framework comparing self-supervised learning (SSL) objectives on ICU patient representation tasks. Master's thesis project.,AI/ML Infrastructure & Tooling,Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21),,,"November 1, 2025","April 30, 2026",https://github.com/hannesill/SLICES,No funding (GCP $500 credits from Takeshi),,,,,"March 17, 2026 1:46 PM",Ken,,Master's thesis.
