Project Name,Compute,Compute resources,Description,Frequency,Funding,GitHub Repository,Key Team Members,Last edited by,Last edited time,Notes / Duplicates,Outputs,Project Lead,Related Events,Research Area,Start Date,Status,Target End Date,Team Members
M4: Clinical Research Agent (MCP),,,"Infrastructure for AI-assisted clinical research enabling natural-language exploration of ICU datasets (MIMIC-IV, eICU). Operates as an MCP server (Claude Desktop, Cursor) and Python API with clinician-authored Agent Skills modules. Evaluation framework: L1 SQL accuracy, L2 clinical artifact generation, L3 research reproduction. Preprint target April 2026.",,No funding,https://github.com/hannesill/m4,"Ahram Han, Ryohei Yamamoto-Kobayashi, Dukyong Yoon, Takeshi Tohyama, Marlene Moerig",Ken,"March 17, 2026 1:46 PM",DUPLICATE: Submitted 3x � by Hannes Ill (�2) and Benet Fite Abril. Marlene's entry is most complete and used as canonical.,,Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21),,AI/ML Infrastructure & Tooling,"October 1, 2025",Active,"October 1, 2026","Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Ryohei Yamamoto-Kobayashi (https://www.notion.so/Ryohei-Yamamoto-Kobayashi-318e4faff87f818f884fc9e94807e796?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21), Dukyong Yoon (https://www.notion.so/Dukyong-Yoon-318e4faff87f81238d19c0f45634805d?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21)"
Lab-MAE: Foundation Model for Lab Data,,,"Transformer-based foundation model creating vector embeddings of laboratory test data from MIMIC. Contextualizes lab values (e.g., creatinine 3.6 means something different per patient/time). Provides a knowledge graph of numeric clinical data capturing physiological states.",,,https://github.com/dsrestrepo/Lab-MAE-Foundation-Tabular,Boya Zhang (submitter),Ken,"March 17, 2026 1:46 PM",Related to LabTube (explicit predecessor/successor relationship).,,Yugang Jia (https://www.notion.so/Yugang-Jia-326e4faff87f80dbb275d2b17a21d26e?pvs=21),,AI/ML Infrastructure & Tooling,,Active,,Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21)
LabTube: 3D Temporal Modeling of ICU Labs,,,VideoMAE-style modeling of ICU lab time series. Elevates time to a structural dimension ('the tube'). Unifies time and lab space in one 3D tensor for spatio-temporal modeling. Described as successor to Lab-MAE.,,N/A,https://github.com/tinaboya/LabTube,Tiger Krittaphas,Ken,"March 17, 2026 1:47 PM",Related to Lab-MAE (explicit successor). Kept as a separate project.,,Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),,AI/ML Infrastructure & Tooling,"February 2, 2026",Active,"April 30, 2026",Tiger Krittaphas (https://www.notion.so/Tiger-Krittaphas-326e4faff87f806682fae38201d9fc23?pvs=21)
SLICES: SSL Objectives for ICU Representation,,,Modular framework comparing self-supervised learning (SSL) objectives on ICU patient representation tasks. Master's thesis project.,,No funding (GCP $500 credits from Takeshi),https://github.com/hannesill/SLICES,,Ken,"March 17, 2026 1:46 PM",Master's thesis.,,Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21),,AI/ML Infrastructure & Tooling,"November 1, 2025",Active,"April 30, 2026",
Snapshot Embedding for EHR Data,,,Improving snapshot embeddings of EHR data using multimodal data. Version 1 in final stages.,,Korean fund (VE project),https://github.com/ttohya/clinemb,"Ahram, Hannes, Xiao, Laurine",Ken,"March 17, 2026 10:45 AM",,,Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21),,"Multimodal EHR, Vector Embeddings","September 1, 2025",Active,"April 30, 2026","Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21)"
Multimodal VE for Cardiovascular Disease,,,Leveraging the vector embedding approach for integration of multimodal data in cardiovascular disease.,,Own compute,,"Ahram, Dukyoon, Riya, Gowrish",Ken,"March 17, 2026 10:45 AM",,,Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21),,"Multimodal EHR, Vector Embeddings","August 20, 2025",Active,"July 31, 2026","Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Dukyong Yoon (https://www.notion.so/Dukyong-Yoon-318e4faff87f81238d19c0f45634805d?pvs=21)"
Vector Embedding Pipeline (v1),,,Pipeline to extract vector embeddings from pre-trained transformers. Final stages of v1.,,Google Cloud Credits,MIT LCP,"Ken, Ahram, Takeshi, Dokyong",Ken,"March 17, 2026 10:44 AM",Related to the broader Vector Embedding team workstream. Kept as a separate project.,,Kenneth Paik (https://www.notion.so/Kenneth-Paik-326e4faff87f802dadded21daa435b8f?pvs=21),,Vector Embeddings,"September 10, 2025",Active,"March 10, 2026","Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21), Norman Pedersen (https://www.notion.so/Norman-Pedersen-318e4faff87f81be9a6edf95f2c888c0?pvs=21)"
Multimodal Data Discordance,,,"Evaluating AI performance, entropy, and calibration in discordant data across multiple modalities.",,Own compute,,"Vector Embedding team, HST.956 class students",Ken,"March 17, 2026 10:43 AM",Overlaps with VE team work. Kept as a separate project. Submitted by Takeshi Tohyama.,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,"Multimodal EHR, Vector Embeddings","January 1, 2026",Active,"December 30, 2026",Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21)
Bias in Omics Data Beyond Non-Representativeness,,,"Systematic review investigating sources of bias across the full lifecycle of OMICS data (genomics, transcriptomics, proteomics, metabolomics). Covers data production, technical/instrumental, computational/analytical, and reporting stages. ~179 articles reviewed.",,No funding,https://github.com/criticaldata/omics-bias,"Kezia, Marlene, Marianna, Amir Hossein, Mohammad, Jehad, Sebastian, Osama, Yichun",Ken,"March 17, 2026 10:39 AM",DUPLICATE: Also submitted by Sebastian Cajas as 'Omics review' (minimal description). Marlene's entry is canonical.,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,Systematic Review,"August 11, 2024",Nearing Completion,"February 28, 2026",
MedScope: Pain Documentation Bias,,,Measuring how pain is documented across clinical notes (BRIDGE) and standardized exam questions (WorldMedQA) to uncover systematic bias in data and models.,,N/A,https://github.com/tinaboya/MedScope,"Yuanchao Ma, Jiageng Wu",Ken,"March 17, 2026 1:46 PM","Related to WorldmedQA (Sebastien). Same datasets, same bias theme. Kept as a separate project.",,Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),,Bias/Fairness/Representation,"November 3, 2025",Active,"April 30, 2026",
WorldmedQA: Cross-Cultural Pain Concepts,,,Comparing how concepts like 'pain' are represented across cultures and languages using BRIDGE and WorldMedQA datasets (~30 countries).,,,MedScope (repo),"Siena Placino, Connor B, Marlene, Rajiv",Ken,"March 17, 2026 1:46 PM","Related to MedScope (Boya). Same datasets, same bias theme. Kept as a separate project.",,"Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21), Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21)",,Bias/Fairness/Representation,,Active,,Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21)
Impact Analysis of Prediction Models (Causal Inference),,,"Evaluating whether prediction models improve patient outcomes before clinical implementation. Methods: target trial emulation, interrupted time series, difference-in-difference, and other causal inference approaches.",,The Naito Foundation,https://github.com/ryohei-hey/mimiciv-rox-strategy-impact-analysis,"Takeshi, Ahram, Norman, Francesca, Kerollos",Ken,"March 17, 2026 10:44 AM",,,Ryohei Yamamoto-Kobayashi (https://www.notion.so/Ryohei-Yamamoto-Kobayashi-318e4faff87f818f884fc9e94807e796?pvs=21),,Clinical Prediction/Causal Inference,"September 30, 2025",Active,"September 30, 2027","Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21), Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Norman Pedersen (https://www.notion.so/Norman-Pedersen-318e4faff87f81be9a6edf95f2c888c0?pvs=21)"
Model Drift in MIMIC,,,Measuring model drift over time using MIMIC data.,,,https://github.com/HamzaNabulsi/Data-Drift,,Ken,"March 17, 2026 10:38 AM",,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,Clinical Prediction/Causal Inference,"September 18, 2025",Active,"April 30, 2026",
XAI Claims in ICU ML Models (Scoping Review),,,"PRISMA-ScR scoping review systematically mapping, analyzing, and assessing claims about explainability in ML models for diagnostic/prognostic decision-making in intensive care.",,No funding / individual contributor funding,,"Louis Agha-mir-Salim, Leo Celi, Prof Stefan Haufe, Jana Fehr, Valerie B�rger, Nicolas Frey",Ken,"March 17, 2026 10:45 AM",,,Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21),,Systematic Review,"April 1, 2025",Active,"May 1, 2026","Louis Agha-mir-Salim (https://www.notion.so/Louis-Agha-mir-Salim-326e4faff87f80359008e84c0ba9eca9?pvs=21), Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21)"
Epidemiology of Sentiments in Clinical Notes,,,"Curated repository of open-source sentiment analysis tools for healthcare documents (text, audio, video modalities). Maps sentiment patterns in clinical documentation to patient characteristics, outcomes, and resource utilization.",,Individual contributor funding,In progress,"Paola Buedo, Max Lange, Rajna, Gaetano Manzo, Andrei Catalin Coman, Marlene Moerig",Ken,"March 17, 2026 10:38 AM",,,"Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21)",,Systematic Review,"March 1, 2025",Active,"July 1, 2026",
"MIT Critical Data Branding, Events & Comms",,,"Coordination of the lab's external events calendar, website (criticaldata.mit.edu), social media (LinkedIn/X/Instagram), YouTube, and communication infrastructure. Includes AI Attitudes platform.",,N/A,,"Saleem Ameen, Aryan Bhattacharya, Han-Jay Shu, Rahul, Marlene, Mindy, Milit Patel, Akshay Kelshiker, Dukyong",Ken,"March 17, 2026 10:42 AM",,,"Kenneth Paik (https://www.notion.so/Kenneth-Paik-326e4faff87f802dadded21daa435b8f?pvs=21), Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21)",,Lab Operations,"January 17, 2026",Active,,"Saleem Ameen (https://www.notion.so/Saleem-Ameen-318e4faff87f81f0a6fcc93a5bf3f005?pvs=21), Milit Patel (https://www.notion.so/Milit-Patel-326e4faff87f8022ad72e35c5864db2d?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21), Aryan Bhattacharya (https://www.notion.so/Aryan-Bhattacharya-326e4faff87f80978eaac1f1b30a5dab?pvs=21)"
"AI as a Catalyst (Jan 15, 2026 Event)",,,January 15th 2026 large multi-stakeholder event on AI in healthcare.,,MIT,,"Djillali Annane, Lorna Atimango, Azra Bihorac, + ~100 others",Ken,"March 17, 2026 10:36 AM",,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,Education/Events/Workshops,"December 30, 2025",Nearing Completion,"January 15, 2026",
"Brown Mental Health LLM-athon (Feb 26�27, 2026)",,,"AI-a-thon for high school students, teachers, data scientists, and healthcare professionals. Cross-disciplinary teams tackle real-world AI-in-healthcare activities. Youth-centered.",,MIT + Brown University,,"Ahram Han, Ann Larson, Boya Zhang, Doug Rademacher, Hannes Ill, Laurine Sprehe, Ryohei Kobayashi, Takeshi Tohyama, Tiger Krittaphas, Marlene, and others",Ken,"March 17, 2026 10:41 AM",,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,Education/Events/Workshops,"February 1, 2026",Active,"February 27, 2026","Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21), Tiger Krittaphas (https://www.notion.so/Tiger-Krittaphas-326e4faff87f806682fae38201d9fc23?pvs=21), Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21), Ryohei Yamamoto-Kobayashi (https://www.notion.so/Ryohei-Yamamoto-Kobayashi-318e4faff87f818f884fc9e94807e796?pvs=21), Laurine Sprehe (https://www.notion.so/Laurine-Sprehe-318e4faff87f81d1802bcb1a03d089db?pvs=21), Hannes Ill (https://www.notion.so/Hannes-Ill-318e4faff87f8133a59ed978c7fd44dd?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21)"
6 Tools Framework + Jan 15 Event Take-aways,,,Using the 6 tools framework combined with January 15th event outcomes to summarize desired changes in medical education.,,N/A,,Nikil,Ken,"March 17, 2026 10:36 AM",,,Laurine Sprehe (https://www.notion.so/Laurine-Sprehe-318e4faff87f81d1802bcb1a03d089db?pvs=21),,Education/Events/Workshops,"January 15, 2026",Active,"March 31, 2026",
MIT Critical Data Central America,,,Using Central America critical health data to analyze current healthcare outcomes.,,,,"Juan Luis, Roberto Guizar",Ken,"March 17, 2026 10:37 AM",,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,Global Health & Regional Data,"November 18, 2025",Active,,
BODHI: Medical AI as Epistemic Agent,,,"Systems design framework reimagining medical AI as an epistemic agent: one that questions assumptions, reasons under uncertainty, and recognizes the boundaries of its own knowledge.",,,https://github.com/sebasmos/bodhi-llms,Sebastian Cajas (lead developer),Ken,"March 17, 2026 1:46 PM",,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,AI Epistemics & Framework Design,"February 19, 2026",Active,"March 3, 2027",Sebastian Cajas (https://www.notion.so/Sebastian-Cajas-318e4faff87f81a68594db7611cc5312?pvs=21)
Standard Model of Care,,,No description provided.,,,,Sebastian Cajas,Ken,"March 17, 2026 10:43 AM",Description missing � follow up with Sebastian Cajas.,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,AI Epistemics & Framework Design,"October 16, 2025",Nearing Completion,"March 31, 2026",Sebastian Cajas (https://www.notion.so/Sebastian-Cajas-318e4faff87f81a68594db7611cc5312?pvs=21)
